"query","search interest","increase percent"
"shamrock rovers v kerry fc",10,"Breakout"
"kerry fc v shamrock rovers",9,"Breakout"
"santa clara fc",8,"Breakout"
"crystal palace",7,"Breakout"
"shamrock rovers vs kerry fc",6,"Breakout"
"coventry fc",3,"Breakout"
"lens fc",3,"Breakout"
"besiktas fc",2,"Breakout"
"coventry city fc",2,"Breakout"
"az alkmaar",1,"Breakout"
"blackburn rovers",0,"4,100%"
"kerry fc vs shamrock rovers",7,"350%"
"shamrock rovers f.c",8,"300%"
"cork city vs shamrock rovers",16,"170%"
"kerry fc",23,"150%"
"shamrock rovers vs cork city fc",15,"140%"
"rangers",6,"110%"
"linfield fc",6,"110%"
"rangers fc",6,"90%"
"shamrock rovers vs cork city",13,"80%"
"tallaght stadium",4,"80%"
"celtic fc",24,"60%"
"cork city fc",30,"50%"
"celtic",23,"40%"
"derry city fc vs drogheda united",10,"30%"
"everton",3,"20%"
"shelbourne f.c.",5,"20%"
"bohemians vs derry city fc",7,"10%"
"shamrock rovers vs bohemians",11,"5%"
"shelbourne",100,"4%"
"shamrock rovers academy",8,"4%"
"shamrock rovers vs shelbourne",18,"3%"
"shelbourne fc",100,"2%"
"liverpool fc",13,"1%"
"pats fc",21,"-1%"
"shamrock rovers twitter",33,"-1%"
"galway united",15,"-3%"
"bohs",8,"-4%"
"st patrick's athletic vs shamrock rovers",9,"-4%"
"twitter",33,"-8%"
"shelbourne vs shamrock rovers",16,"-8%"
"shamrock rovers fc twitter",33,"-9%"
"drogheda united vs galway united",4,"-9%"
"sligo rovers",18,"-10%"
"galway united fc",13,"-10%"
"drogheda united",16,"-10%"
"drogheda united fc",17,"-20%"
"shamrock rovers f.c.",13,"-20%"
"shamrock rovers vs sligo rovers",8,"-20%"
"derry city fc vs shamrock rovers",43,"-20%"
